index	headword	reading	expected_sentence	word_transcript	w_score	sentence_transcript	s_score	match_method	whisper_conf	chunk_count	track	note
118	どく	どく	「ちょっとそこをどいてください」	ドーク	1.00	ちょっとそこをどいてください。	0.97	silence_boundary	0.0000	2	09 1-09.mp3	
119	どける	どける	「通行のじゃまになるので、自転車を歩道からどけてください」	ドキュール	0.57	通行の邪魔になるので 自転車を歩道からドケてください	0.90	whisper	0.9412	0	09 1-09.mp3	
120	かぶる	かぶる	帽子をかぶる。	カブル	1.00	防止をかぶる。	0.71	whisper	0.7692	0	09 1-09.mp3	
121	かぶせる	かぶせる	ぬれないように、自転車にシートをかぶせておいた。	カブセル	1.00	濡れないように自転車にシートを株せておいた	0.86	whisper	0.9581	0	09 1-09.mp3	
122	かじる	かじる	りんごを丸ごとかじる。	カジル	1.00	リンゴを丸ごとかじる	0.95	whisper	0.9714	0	09 1-09.mp3	
123	撃つ	うつ	警官が犯人をピストルで撃った。	ウォッツ	0.33	警官が範囲をピストルで撃った	0.83	whisper	0.6966	0	09 1-09.mp3	
124	漕ぐ	こぐ	自転車 (のペダル) をこぐ。	コン	0.00	自転車を込む	0.61	silence_boundary	0.0000	2	09 1-09.mp3	
125	敷く	しく	床にふとんを敷く。	シク。 ゆかにふとんをシク。	0.13	床にふとんをしく	0.82	whisper	0.6941	0	09 1-09.mp3	
126	つぐ	つぐ	水をコップにつぐ。	S NewLDL	0.00	水をコップに積む。	0.78	whisper	0.6941	0	09 1-09.mp3	
127	配る	くばる	先生が生徒にプリントを配った。	グーバル	0.40	先生が生徒にプリントを配った	0.97	silence_boundary	0.0000	2	09 1-09.mp3	
128	放る	ほうる	ボールをほうる。	オール	0.50	ボールをホール	0.83	whisper	0.7000	0	09 1-09.mp3	
129	掘る	ほる	地面に穴を掘る。	オーブン	0.00	地面に穴を掘る。	1.00	whisper	0.6800	0	09 1-09.mp3	
130	まく	まく	畑に野菜の種をまく。	マーク	1.00	畑に野菜の種を巻く	0.84	whisper	0.9684	0	09 1-09.mp3	
131	計る／測る／量る	はかる		アカル	0.22	時間をはかる	0.00	gap_boundary	0.0000	4	09 1-09.mp3	
132	占う	うらなう	来年の運勢を占ってもらった。	ウラーナウ	0.33	来年の運勢を裏なってもらった	0.86	gap_boundary	0.0000	4	09 1-09.mp3	
133	引っ張る	ひっぱる	このひもを引っ張ると電気がつく。	そのパール早送り	0.18	この雲を引っ張ると電気がつく	0.87	whisper	0.8975	0	10 1-10.mp3	
134	突く	つく	けんかして相手の胸を手で突いた。	スク	0.50	検化して相手の胸を手でついた	0.73	silence_boundary	0.0000	2	10 1-10.mp3	
135	突き当たる	つきあたる	「この道をまっすぐ行って、突き当たったら左に曲がってください」	好きあたる	0.60	この道をまっすぐ行って、つき当たったら左に曲がってください。	0.95	whisper	0.9321	0	10 1-10.mp3	
136	立ち止まる	たちどまる	道で声をかけられて立ち止まった。	立ち止まる	1.00	道で声をかけられて立ち止まった	0.97	whisper	0.9636	0	10 1-10.mp3	
137	近寄る	ちかよる	物音がしたので窓に近寄って外を見た。	オノートが下ので	0.00	窓に近寄って外を見た	0.71	whisper	0.7778	0	10 1-10.mp3	
138	横切る	よこぎる	道を横切って向こう側に渡った。	横にいる	0.57	道を横に行って向こう側に渡った	0.87	whisper	0.7600	0	10 1-10.mp3	
139	転ぶ	ころぶ	雪道ですべって転んでしまった。	コロウ	0.00	雪道で全て転んでしまった。	0.86	whisper	0.8579	0	10 1-10.mp3	
140	つまずく	つまずく	道で石につまずいてころんでしまった。	スマーズク	0.75	道で石に詰まずいて転んでしまった。	0.86	whisper	0.8698	0	10 1-10.mp3	
141	ひく	ひく	車にひかれて骨折した。	チャウンド効可	0.00	車に引かれて固設した	0.67	silence_boundary	0.0000	2	10 1-10.mp3	
142	おぼれる	おぼれる	川に落ちておぼれている子どもを助けた。	おぼれる	1.00	皮に落ちて怒れている子どもを助けた	0.83	whisper	0.7514	0	10 1-10.mp3	
143	痛む	いたむ	{歯／頭／足 ……} が痛む。	痛む。	0.80	ハナイタム	0.17	silence_boundary	0.0000	2	10 1-10.mp3	
144	かかる	かかる	インフルエンザにかかって、学校を休んだ。	かかる	1.00	インフルエンザにかかって学校をやすんだ	0.90	whisper	0.7516	0	10 1-10.mp3	
145	酔う	よう	酒に酔う。	ヨウン	0.40	酒によう	0.67	gap_boundary	0.0000	6	10 1-10.mp3	
146	吐く	はく	息を吸って吐く。	はっ	0.00	息を捨てはく	0.57	gap_boundary	0.0000	6	10 1-10.mp3	
147	診る	みる	体の調子が悪いので医者に診てもらおう。	ミル	0.50	体の調子が悪いので、一緒に見てもらおう。	0.84	gap_boundary	0.0000	6	10 1-10.mp3	
148	見舞う	みまう	入院中の友だちをみんなで見舞った。	リマウン	0.29	入院中の友達をみんなで見まった	0.81	whisper	0.7377	0	10 1-10.mp3	
149	勤める	つとめる	会社に勤める。	Timed	0.00	会社に務める	0.77	whisper	0.6800	0	10 1-10.mp3	
150	稼ぐ	せぐ	大学時代はアルバイトで学費を稼いだ。	カセング	0.33	大学時代はアルバイトで学費を稼いだ	0.97	whisper	0.8000	0	11 1-11.mp3	
151	支払う	しはらう	買い物の代金をカードで支払う。	しはだう	0.29	買い物の大金をカードで支払う	0.89	whisper	0.9143	0	11 1-11.mp3	
152	受け取る	うけとる	着払いの荷物を、代金を払って受け取った。	受け取る	1.00	着払いの荷物を大金を払って受け取った	0.92	whisper	0.9362	0	11 1-11.mp3	
153	払い込む	はらいこむ	今期の授業料を銀行に払い込んだ。	アライコム	0.44	ポンキの順曜量を銀行に払い込んだ	0.62	whisper	0.8095	0	11 1-11.mp3	
154	払い戻す	はらいもどす	電話会社は過大請求額を利用者の口座に払い戻した。	払い戻す。	0.89	電話会社は、課題成給学を利用者の講座に払い戻した。	0.75	whisper	0.7719	0	11 1-11.mp3	
155	引き出す	ひきだす	銀行から生活費を引き出した。	引き出す	1.00	銀行から生活費を引き出した。	1.00	whisper	0.9730	0	11 1-11.mp3	
156	もうかる	もうかる	株で 100 万円もうかった。	ボーカル	0.57	株で100万円もおかった	0.88	whisper	0.9714	0	11 1-11.mp3	
157	もうける	もうける	彼は株で 100 万円もうけた。	モーケル	0.86	彼は株で100万円も置けた。	0.93	whisper	0.9730	0	11 1-11.mp3	
158	落ち込む	おちこむ	景気が落ち込んで、失業率が上がった。	落ち込む	1.00	定期が落ち込んで失業率が上がった	0.85	whisper	0.8837	0	11 1-11.mp3	
159	売れる	うれる	このCDは100万枚売れたそうだ。	売れる	1.00	このCDは100万枚売れたそうだ。	1.00	whisper	0.9756	0	11 1-11.mp3	
160	売り切れる	うりきれる	そのコンサートのチケットは1時間で売り切れたそうだ。	売り切れる	1.00	そのコンサートのチケットは1時間で売り切れたそうだ	0.98	whisper	0.9836	0	11 1-11.mp3	
161	くっ付く	くっつく	磁石と磁石がくっついて離れない。	くっつく	0.75	自宅と自宅がくっついて離れない	0.71	whisper	0.7317	0	12 1-12.mp3	
162	くっ付ける	くっつける	机と机をくっつけて並べた。	くっつける	0.80	机と机をくっつけて並べた。	1.00	whisper	0.7692	0	12 1-12.mp3	
163	固まる	たまる	液体にゼラチンを入れると固まってゼリーになる。	カタマル	0.57	液体にゼラチンを入れると固まってゼリーになる	0.98	whisper	0.9804	0	12 1-12.mp3	
164	固める	ためる	ジュースを固めてゼリーを作った。	固める	1.00	ジュースを傾けてゼリーを作った	0.81	whisper	0.8889	0	12 1-12.mp3	
165	縮む	ちぢむ	洗濯したらセーターが縮んでしまった。	チジム	0.40	選択したら、セーターが地人でしまった。	0.75	whisper	0.7179	0	12 1-12.mp3	
166	縮まる	ちぢまる	マラソンの世界記録はだんだん縮まっている。	チーズマル	0.57	マラソンの世界記録はだんだん縮まっている	0.98	whisper	0.8627	0	12 1-12.mp3	
167	縮める	ちぢめる	ズボンが長すぎたので少し丈を縮めた。	じめる	0.67	ズボンが長すぎたので、少しだけ落ちじめた。	0.79	whisper	0.7826	0	12 1-12.mp3	
168	沈む	しずむ	台風で船が海に沈んだ。	シズム	0.40	台庫で船が海に湿んだ	0.76	whisper	0.8571	0	12 1-12.mp3	
169	沈める	しずめる	台風が船を海に沈めてしまった。	絞める	0.67	台風が船を海に沈めてしまった	0.97	whisper	0.8947	0	12 1-12.mp3	
170	下がる	さがる	電灯からひもが下がっている。	サンアル	0.29	伝統から紐が下がっている	0.69	whisper	0.7647	0	12 1-12.mp3	
172	転がる	ころがる	ボールが転がる。	転がる	1.00	ボールが転がる	0.92	whisper	0.9474	0	13 1-13.mp3	
173	転がす	ころがす	ボーリングの球を転がしてピンを倒す。	転がす	1.00	ボーリングの弾を転がしてピンを倒す	0.91	whisper	0.9231	0	13 1-13.mp3	
174	傾く	たむく	地震で塀が傾いてしまった。	片向く	0.40	自身で兵が傾いてしまった	0.72	whisper	0.5806	0	13 1-13.mp3	
175	傾ける	たむける	あの子はわからないことがあると、首を傾けるくせがある。	固むける。	0.50	あの子はわからないことがあると、首を固むける癖がある	0.86	whisper	0.7083	0	13 1-13.mp3	
176	裏返す	うらがえす	「この書類を書き終わったら、裏返して机の上に置いてください」	裏返す	1.00	この処理を書き終わったら、裏返して机の上に置いてください。	0.91	whisper	0.9333	0	13 1-13.mp3	
177	散らかる	ちらかる	兄の部屋はいつも散らかっている。	しらかる。	0.67	アニの部屋はいつも散らかっている	0.88	whisper	0.9250	0	13 1-13.mp3	
178	散らかす	ちらかす	うちの子はすぐに部屋を散らかしてしまう。	切らかす。	0.67	内の子はすぐに部屋を散らかしてしまう	0.90	whisper	0.9368	0	13 1-13.mp3	
179	散らばる	ちらばる	路上にごみが散らばっている。	チラバル	0.75	路上にゴミが散らばっている	0.96	whisper	0.9778	0	13 1-13.mp3	
180	刻む	きざむ	キャベツを刻んでいためる。	ひざむ	0.40	キャベツを刻んでいためる。	1.00	whisper	0.9760	0	13 1-13.mp3	
181	挟まる	はさまる	コートが電車のドアに挟まって抜けない。	挟まる	1.00	コートが電車のドアに挟まって抜けない	0.97	whisper	0.9829	0	13 1-13.mp3	
182	挟む	はさむ	「電車のドアにはさまれないようご注意ください」	ハサム	0.40	電車のドアに挟まれないようご注意ください	0.93	whisper	0.9561	0	13 1-13.mp3	
183	つぶれる	つぶれる	箱が落ちて、中のケーキがつぶれてしまった。	素晴らしい。	0.00	箱が落ちて中のケーキが潰れてしまった。	0.92	whisper	0.7619	0	13 1-13.mp3	
184	つぶす	つぶす	ゆでたじゃがいもをつぶしてサラダを作った。	つぶす。	0.86	ゆでたじゃないもを粒してサラダを作った	0.85	silence_boundary	0.0000	2	13 1-13.mp3	
185	へこむ	へこむ	木にぶつかって車がへこんだ。	エコム	0.67	木にぶつかって車がへこんだ	0.96	whisper	0.9333	0	13 1-13.mp3	
186	ほどける	ほどける	靴のひもがほどけた。	おどける	0.75	普通のひもがほどけた	0.80	whisper	0.8571	0	14 1-14.mp3	
187	ほどく	ほどく	荷物のひもをほどいて中のものを出す。	おどく	0.67	荷物の紐をほどいて中のものを出す	0.88	whisper	0.9048	0	14 1-14.mp3	
188	枯れる	れる	害虫のせいで、木が枯れてしまった。	カレル	0.67	外中のせいで木が枯れてしまった。	0.88	whisper	0.8205	0	14 1-14.mp3	
189	枯らす	らす	病気が発生し、多くの木を枯らしてしまった。	ガラス	0.67	病気が発生し、多くの木を絡してしまった。	0.92	whisper	0.9048	0	14 1-14.mp3	
190	傷む	いたむ	生魚は傷みやすいから、早く食べた方がいい。	痛む	0.50	生ザカナは痛みやすいから早く食べた方がいい	0.83	whisper	0.8085	0	14 1-14.mp3	
191	湿る	しめる	朝干した洗濯物がまだ湿っている。	締める	0.40	朝星た選択物がまだ閉めている	0.60	whisper	0.6842	0	14 1-14.mp3	
192	凍る	こおる	水が凍る。	ポール	0.50	水が濃る	0.67	silence_boundary	0.0000	2	14 1-14.mp3	
193	震える	ふるえる	寒さ {に／で} 手足がぶるぶる震えた。	ブルエル	0.57	寒さに手足がブルブルふるえた輝く	0.77	whisper	0.7895	0	14 1-14.mp3	
194	輝く	がやく	空に太陽が輝いている。	かがやく	0.33	空に太陽が輝いている	0.95	whisper	0.9630	0	14 1-14.mp3	
195	あふれる	あふれる	大雨で川の水があふれた。	アフレル	1.00	オーワメで皮の水が溢れた	0.52	whisper	0.8750	0	14 1-14.mp3	
196	余る	あまる	作り過ぎて料理が余ってしまった。	アマル	0.40	作り過ぎて料理が余ってしまった。	1.00	whisper	0.9189	0	14 1-14.mp3	
197	目立つ	めだつ	彼女は背が高いので目立つ。	目立つ	1.00	彼女は背が高いので目立つ。	1.00	whisper	0.9697	0	14 1-14.mp3	
198	見下ろす	みおろす	このビルの屋上から町が見下ろせる。	ヨーロース	0.57	このビルの奥上から間違み下ろせる	0.73	whisper	0.8444	0	14 1-14.mp3	
199	戦う / 闘う	たたかう	国と国とが領土をめぐって戦う。	戦う	0.67	国特にとが両堂をめぐって戦う	0.69	whisper	0.8108	0	14 1-14.mp3	
200	敗れる	やぶれる	試合に敗れる。		0.00		0.00	shared_region	0.0000	0	14 1-14.mp3	
201	逃げる	にげる	犯人は海外に逃げたらしい。	やぶれる	0.29	試合に破れる逃げる判断は海外に逃げたらしい	0.59	whisper	0.6364	0	14 1-14.mp3	
202	逃がす	にがす	魚を釣ったが、小さいので逃がしてやった。	似合わせ	0.00	魚をつったが小さいので苦してやった	0.83	whisper	0.9113	0	15 1-15.mp3	
203	戻る	もどる	忘れ物をしたのに気付いて、家に戻った。	戻る	1.00	忘れ物を下のに気づいて家に戻った	0.82	whisper	0.9200	0	15 1-15.mp3	
204	戻す	もどす	「物は元にあった場所に戻しなさい」	戻す	1.00	物は元にあった場所に戻しなさい	1.00	whisper	0.9006	0	15 1-15.mp3	
205	はまる	はまる	彼の薬指には指輪がはまっていた。	あまる	0.67	春の薬指には指はがはまっていた	0.84	whisper	0.9429	0	15 1-15.mp3	
206	はめる	はめる	寒いので、上着のボタンを全部はめた。	カメル	0.67	寒いので、上にのボタンを全部はめた。	0.94	whisper	0.7429	0	15 1-15.mp3	
207	扱う	あつかう	「壊れやすいものですから、ていねいに扱ってください」	扱う	1.00	壊れやすいものですから 丁寧に扱ってください	0.86	whisper	0.7836	0	15 1-15.mp3	
208	関わる	かわる	将来は子どもの教育に関わる仕事がしたい。	カカワル	0.57	将来は子供の教育に関わる仕事がしたい	0.90	whisper	0.8967	0	15 1-15.mp3	
209	目指す	めざす	選手たちはゴールを目指して走り出した。	目指す	1.00	選手たちはゴールを目指して走り出した。	1.00	whisper	0.9429	0	15 1-15.mp3	
210	立つ(発つ)	たつ	8 月末に海外赴任でヨーロッパへ立つ予定だ。	HOTS	0.00	8月末に海外不任でヨーロッパへ立つ予定だ。	0.95	silence_boundary	0.0000	2	15 1-15.mp3	
211	迎える	むかえる	あのお店はいつも客を笑顔で迎える。	ムカエル	0.57	あの店はいつも客を笑顔で迎える	0.94	whisper	0.9247	0	15 1-15.mp3	
212	持てる	もてる	「持てる力を十分に発揮してください」	オテル	0.67	モテル力を十分に発揮してください	0.94	whisper	0.7740	0	15 1-15.mp3	
213	たとえる	たとえる	人生はよく旅にたとえられる。	ハトエル	0.75	人生はよくたびにたとえられる	0.86	whisper	0.7333	0	15 1-15.mp3	
214	努める	つとめる	できるかぎり問題の解決に努めたい。	スタート	0.00	できる限り問題の解決に誤めたい。	0.85	whisper	0.6941	0	16 1-16.mp3	
215	務まる	つとまる	こんな難しい役が私に務まるだろうか。	ストマル	0.57	こんな難しい役が私に勤まるだろうか	0.91	whisper	0.7514	0	16 1-16.mp3	
216	務める	つとめる	会議で議長を務めた。	となる	0.33	会議で議長を務めた。	1.00	whisper	0.7143	0	16 1-16.mp3	
217	取り消す	とりけす	仕事が忙しくなり、飛行機の予約を取り消した。	トリケス	0.50	仕事が忙しくなり、飛行機の予約を取り消した。	1.00	whisper	0.9556	0	16 1-16.mp3	
218	終える	おえる	今日は 6 時までに仕事を終えて退社するつもりだ。	ウェル	0.33	今日は6時までに仕事を終えて対写するつもりだ。	0.91	whisper	0.7764	0	16 1-16.mp3	
219	／ヲ呼びかける	よびかける	意識不明の母に呼びかけた。	呼び掛ける。	0.67	意識不明の母に呼びかけた	0.96	whisper	0.9333	0	16 1-16.mp3	
220	呼び出す	よびだす	学費を払っていなかったので、事務局に呼び出された。	呼び出す	1.00	学費を払っていなかったので 地務局に呼び出された	0.94	whisper	0.9306	0	16 1-16.mp3	
