Track: 34 1-34.mp3
  [ 58.33- 58.64] ベ
  [ 58.64- 59.27] ット
  [ 59.27- 60.00] 。
  [ 60.00- 60.54] ア
  [ 60.54- 60.60] ル
  [ 60.60- 60.95] フ
  [ 60.95- 61.08] ァ
  [ 61.08- 61.21] ベ
  [ 61.21- 62.11] ット
  [ 62.11- 62.16] の
  [ 62.16- 62.43] 順
  [ 62.43- 62.70] に
  [ 62.70- 62.97] 並
  [ 62.97- 63.24] べ
  [ 63.24- 64.05] て
  [ 64.05- 64.10] ある
  [ 64.10- 64.32] 。
  [ 64.32- 64.59] ア
  [ 64.59- 64.86] ド
  [ 64.86- 65.13] レ
  [ 65.13- 65.40] ス
  [ 65.40- 65.94] 。
  [ 65.94- 65.94] 友
  [ 65.94- 66.21] 達
  [ 66.21- 66.48] と
  [ 66.48- 67.16] メ
  [ 67.16- 67.29] ール
  [ 67.29- 67.56] の
  [ 67.56- 68.10] ア
  [ 68.10- 68.37] ド
  [ 68.37- 68.37] レ
  [ 68.37- 68.64] ス
  [ 68.64- 68.96] を
  [ 68.96- 69.18] 交
  [ 69.18- 69.48] 換
  [ 69.48- 69.99] した
  [ 69.99- 70.26] 。
  [ 70.26- 70.53] メ
  [ 70.53- 70.85] モ
  [ 70.85- 71.13] 。
  [ 71.13- 71.34] 大
  [ 71.34- 71.61] 事
  [ 71.61- 71.88] な
  [ 71.88- 72.42] こと
  [ 72.42- 72.69] を
  [ 72.69- 73.23] 紙
  [ 73.23- 73.23] に
  [ 73.23- 73.50] メ
  [ 73.50- 74.31] モ
  [ 74.31- 74.47] する
  [ 74.47- 74.58] 。
  [ 74.58- 74.85] マ
  [ 74.85- 75.39] ー
  [ 75.39- 75.66] ク
  [ 75.66- 75.76] 。
  [ 75.76- 75.93] 文
  [ 75.93- 76.20] 章
  [ 76.20- 76.81] の
  [ 76.81- 77.01] 重要
  [ 77.01- 77.28] な
  [ 77.28- 77.54] ポ
  [ 77.54- 77.81] イ
  [ 77.81- 78.63] ント
  [ 78.63- 78.63] に
  [ 78.63- 78.90] マ
  [ 78.90- 79.17] ー
  [ 79.17- 79.44] ク
  [ 79.44- 79.94] を
  [ 79.94- 79.98] つ
  [ 79.98- 80.70] けて
  [ 80.70- 81.06] 覚
  [ 81.06- 81.33] える
  [ 81.33- 81.68] 。
  [ 81.68- 81.87] イ
  [ 81.87- 82.13] ラ
  [ 82.13- 82.68] スト
  [ 82.68- 83.00] 。
  [ 83.00- 83.49] この
  [ 83.49- 83.76] 本
  [ 83.76- 84.30] は
  [ 84.30- 84.30] イ
  [ 84.30- 84.57] ラ
  [ 84.57- 85.38] スト
  [ 85.38- 85.47] が
  [ 85.47- 85.65] た
  [ 85.65- 85.92] く
  [ 85.92- 86.73] さん
  [ 86.73- 86.84] あ
  [ 86.84- 87.32] って
  [ 87.32- 87.54] 内
  [ 87.54- 87.65] 容
  [ 87.65- 88.28] が
  [ 88.28- 88.35] 理
  [ 88.35- 88.62] 解
  [ 88.62- 88.89] し
  [ 88.89- 89.16] や
  [ 89.16- 89.44] す
  [ 89.44- 89.70] い
  [ 89.70- 90.00] 。

## Speech pieces (ffmpeg non-silence intervals; primary coverage units)
  Piece 0: 0.608-1.220
  Piece 1: 2.108-3.494
  Piece 2: 4.068-5.509
  Piece 3: 7.168-7.714
  Piece 4: 8.372-12.783
  Piece 5: 14.439-15.047
  Piece 6: 15.731-16.303
  Piece 7: 16.810-18.299
  Piece 8: 19.941-20.367
  Piece 9: 21.065-22.201
  Piece 10: 22.489-23.791
  Piece 11: 25.472-26.144
  Piece 12: 26.805-27.658
  Piece 13: 28.290-30.763
  Piece 14: 32.439-33.149
  Piece 15: 33.948-34.975
  Piece 16: 35.558-37.741
  Piece 17: 39.451-39.756
  Piece 18: 40.445-41.874
  Piece 19: 42.213-43.002
  Piece 20: 44.761-45.274
  Piece 21: 46.040-47.236
  Piece 22: 47.509-48.157
  Piece 23: 49.914-50.600
  Piece 24: 51.239-52.834
  Piece 25: 53.411-54.373
  Piece 26: 56.118-56.939
  Piece 27: 57.676-58.465
  Piece 28: 58.835-59.623
  Piece 29: 60.082-61.969
  Piece 30: 63.656-64.297
  Piece 31: 65.066-65.710
  Piece 32: 66.031-67.880
  Piece 33: 69.638-69.976
  Piece 34: 70.735-71.746
  Piece 35: 72.061-73.077
  Piece 36: 74.831-75.343
  Piece 37: 76.113-77.917
  Piece 38: 78.465-79.922
  Piece 39: 81.678-82.270
  Piece 40: 83.024-83.648
  Piece 41: 84.243-85.650
  Piece 42: 86.067-87.599

## Speech regions (same intervals, legacy label)
  Region 0: 0.608-1.220
  Region 1: 2.108-3.494
  Region 2: 4.068-5.509
  Region 3: 7.168-7.714
  Region 4: 8.372-12.783
  Region 5: 14.439-15.047
  Region 6: 15.731-16.303
  Region 7: 16.810-18.299
  Region 8: 19.941-20.367
  Region 9: 21.065-22.201
  Region 10: 22.489-23.791
  Region 11: 25.472-26.144
  Region 12: 26.805-27.658
  Region 13: 28.290-30.763
  Region 14: 32.439-33.149
  Region 15: 33.948-34.975
  Region 16: 35.558-37.741
  Region 17: 39.451-39.756
  Region 18: 40.445-41.874
  Region 19: 42.213-43.002
  Region 20: 44.761-45.274
  Region 21: 46.040-47.236
  Region 22: 47.509-48.157
  Region 23: 49.914-50.600
  Region 24: 51.239-52.834
  Region 25: 53.411-54.373
  Region 26: 56.118-56.939
  Region 27: 57.676-58.465
  Region 28: 58.835-59.623
  Region 29: 60.082-61.969
  Region 30: 63.656-64.297
  Region 31: 65.066-65.710
  Region 32: 66.031-67.880
  Region 33: 69.638-69.976
  Region 34: 70.735-71.746
  Region 35: 72.061-73.077
  Region 36: 74.831-75.343
  Region 37: 76.113-77.917
  Region 38: 78.465-79.922
  Region 39: 81.678-82.270
  Region 40: 83.024-83.648
  Region 41: 84.243-85.650
  Region 42: 86.067-87.599

## Silence boundaries (for cutting)
  0.000 silence_start
  0.608 silence_end
  1.220 silence_start
  2.108 silence_end
  3.494 silence_start
  4.068 silence_end
  5.509 silence_start
  7.168 silence_end
  7.714 silence_start
  8.372 silence_end
  12.783 silence_start
  14.439 silence_end
  15.047 silence_start
  15.731 silence_end
  16.303 silence_start
  16.810 silence_end
  18.299 silence_start
  19.941 silence_end
  20.367 silence_start
  21.065 silence_end
  22.201 silence_start
  22.489 silence_end
  23.791 silence_start
  25.472 silence_end
  26.144 silence_start
  26.805 silence_end
  27.658 silence_start
  28.290 silence_end
  30.763 silence_start
  32.439 silence_end
  33.149 silence_start
  33.948 silence_end
  34.975 silence_start
  35.558 silence_end
  37.741 silence_start
  39.451 silence_end
  39.756 silence_start
  40.445 silence_end
  41.874 silence_start
  42.213 silence_end
  43.002 silence_start
  44.761 silence_end
  45.274 silence_start
  46.040 silence_end
  47.236 silence_start
  47.509 silence_end
  48.157 silence_start
  49.914 silence_end
  50.600 silence_start
  51.239 silence_end
  52.834 silence_start
  53.411 silence_end
  54.373 silence_start
  56.118 silence_end
  56.939 silence_start
  57.676 silence_end
  58.465 silence_start
  58.835 silence_end
  59.623 silence_start
  60.082 silence_end
  61.969 silence_start
  63.656 silence_end
  64.297 silence_start
  65.066 silence_end
  65.710 silence_start
  66.031 silence_end
  67.880 silence_start
  69.638 silence_end
  69.976 silence_start
  70.735 silence_end
  71.746 silence_start
  72.061 silence_end
  73.077 silence_start
  74.831 silence_end
  75.343 silence_start
  76.113 silence_end
  77.917 silence_start
  78.465 silence_end
  79.922 silence_start
  81.678 silence_end
  82.270 silence_start
  83.024 silence_end
  83.648 silence_start
  84.243 silence_end
  85.650 silence_start
  86.067 silence_end
  87.599 silence_start
  88.790 silence_end
  88.798 silence_end
  Track duration: 88.798

## Expected vocabulary entries on this track
  Index 468: リズム (リズム) — ① この曲のリズムは3拍子だ。
  Index 469: アクセント (アクセント) — ① 「おかあさん」のアクセントは、「か」の音にある。
  Index 470: アルファベット (アルファベット) — 図書館では英語の本はアルファベットの順に並べてある。

## Instructions
Match each Whisper segment and each speech piece to the correct vocabulary entry as either 'word' or 'sentence'.
Rules:
1. Each entry typically has a word segment (headword spoken alone, usually < 2s) and a sentence segment (full example sentence).
2. If a sentence spans multiple Whisper segments (speaker paused mid-sentence), combine them.
3. Treat ffmpeg speech pieces as the primary coverage units. Every piece in the chosen window must be accounted for.
4. Prefer assigning whole speech pieces to an item. Do not leave trailing closures like った or って unassigned.
5. Prefer real silence edges for cut boundaries when they reasonably fit the intended item.
6. If silence detection failed and one speech piece bridges two adjacent items, you may split inside that piece, but mark the affected clip with flag `bridge_split` and preserve the exact split timestamp.
7. Whisper often misrecognizes Japanese characters (e.g., 大声→応勢, 弟→お父). Match by context and sentence structure, not exact text.
8. If a piece seems odd or very short, bias toward attaching it to the beginning or end of an adjacent item and mention the uncertainty in `note`.

Output a JSON array with this structure:
[{"index": N, "word": {"start": X, "end": Y, "piece_ids": [P0], "flags": []}, "sentence": {"start": X, "end": Y, "piece_ids": [P1, P2], "flags": []}, "flags": [], "note": ""}, ...]

If a bridge split is required, include `bridge_split` in the affected clip flags and preserve the exact timestamp for the split boundary.
If an entry's word or sentence cannot be identified, omit that field, but do not leave any speech piece unaccounted for in the selected window.
================================================================================
