Track: 37 1-37.mp3
  [ 36.72- 37.22] 者
  [ 37.22- 37.27] に
  [ 37.27- 37.47] プ
  [ 37.47- 37.79] ロ
  [ 37.79- 38.05] グ
  [ 38.05- 38.47] ラ
  [ 38.47- 38.62] ム
  [ 38.62- 38.72] が
  [ 38.72- 38.97] 配
  [ 38.97- 39.72] ら
  [ 39.72- 39.92] れた
  [ 39.92- 39.97] 。
  [ 39.97- 40.22] レ
  [ 40.22- 40.47] ッ
  [ 40.47- 40.97] ス
  [ 40.97- 41.22] ン
  [ 41.22- 41.30] 。
  [ 41.30- 41.47] ピ
  [ 41.47- 41.72] ア
  [ 41.72- 41.97] ノ
  [ 41.97- 42.22] の
  [ 42.22- 42.47] レ
  [ 42.47- 42.72] ッ
  [ 42.72- 42.98] ス
  [ 42.98- 43.26] ン
  [ 43.26- 43.52] に
  [ 43.52- 43.78] 通
  [ 43.78- 44.04] う
  [ 44.04- 44.30] 。
  [ 44.30- 44.69] レ
  [ 44.69- 44.72] ク
  [ 44.72- 45.01] リ
  [ 45.01- 45.21] エ
  [ 45.21- 45.97] ー
  [ 45.97- 46.05] ショ
  [ 46.05- 46.22] ン
  [ 46.22- 46.47] 。
  [ 46.47- 46.72] 合
  [ 46.72- 46.96] 宿
  [ 46.96- 47.42] では
  [ 47.42- 47.87] 、
  [ 47.87- 47.95] 勉
  [ 47.95- 48.20] 強
  [ 48.20- 48.70] だけ
  [ 48.70- 49.25] では
  [ 49.25- 49.77] なく
  [ 49.77- 50.03] 、
  [ 50.03- 50.29] レ
  [ 50.29- 50.63] ク
  [ 50.63- 50.70] リ
  [ 50.70- 50.95] エ
  [ 50.95- 51.20] ー
  [ 51.20- 51.95] ショ
  [ 51.95- 52.12] ン
  [ 52.12- 52.43] も
  [ 52.43- 52.46] 行
  [ 52.46- 52.70] わ
  [ 52.70- 53.45] れる
  [ 53.45- 53.53] 。
  [ 53.53- 53.77] レ
  [ 53.77- 54.20] ジャ
  [ 54.20- 54.45] ー
  [ 54.45- 54.95] 。
  [ 54.95- 54.99] 休
  [ 54.99- 55.20] み
  [ 55.20- 55.45] に
  [ 55.45- 55.70] 海
  [ 55.70- 56.11] 外
  [ 56.11- 56.20] へ
  [ 56.20- 56.45] レ
  [ 56.45- 56.95] ジャ
  [ 56.95- 57.24] ー
  [ 57.24- 57.46] に
  [ 57.46- 57.85] 出
  [ 57.85- 58.11] か
  [ 58.11- 58.63] ける
  [ 58.63- 58.90] 。
  [ 58.90- 59.10] ガ
  [ 59.10- 59.20] イ
  [ 59.20- 59.44] ド
  [ 59.44- 60.00] 。
  [ 60.00- 60.25] 旅
  [ 60.25- 60.61] 行
  [ 60.61- 60.72] 会
  [ 60.72- 60.98] 社
  [ 60.98- 61.20] で
  [ 61.20- 61.55] ガ
  [ 61.55- 61.92] イ
  [ 61.92- 61.96] ド
  [ 61.96- 62.16] を
  [ 62.16- 62.64] して
  [ 62.64- 63.11] いる
  [ 63.11- 63.13] 。
  [ 63.13- 63.74] シ
  [ 63.74- 63.84] ー
  [ 63.84- 64.08] ズ
  [ 64.08- 64.32] ン
  [ 64.32- 64.56] 。
  [ 64.56- 65.04] 日本
  [ 65.04- 65.52] では
  [ 65.52- 65.77] 、
  [ 65.77- 66.24] 12
  [ 66.24- 66.48] 月
  [ 66.48- 67.20] から
  [ 67.20- 67.27] 2
  [ 67.27- 67.44] 月
  [ 67.44- 67.70] に
  [ 67.70- 68.40] か
  [ 68.40- 68.56] けて
  [ 68.56- 68.64] が
  [ 68.64- 68.90] 、
  [ 68.90- 69.12] 受
  [ 69.12- 69.36] 験
  [ 69.36- 69.84] の
  [ 69.84- 69.92] シ
  [ 69.92- 70.20] ー
  [ 70.20- 70.32] ズ
  [ 70.32- 70.56] ン
  [ 70.56- 70.74] だ
  [ 70.74- 71.28] 。
  [ 71.28- 71.30] ダ
  [ 71.30- 71.52] イ
  [ 71.52- 71.76] ヤ
  [ 71.76- 72.00] 。
  [ 72.00- 72.24] ダ
  [ 72.24- 72.48] イ
  [ 72.48- 72.72] ヤ
  [ 72.72- 73.20] グ
  [ 73.20- 73.26] ラ
  [ 73.26- 73.52] ム
  [ 73.52- 73.70] 。
  [ 73.70- 74.00] 事
  [ 74.00- 74.30] 故
  [ 74.30- 74.64] で
  [ 74.64- 74.69] 、
  [ 74.69- 74.88] 列
  [ 74.88- 75.09] 車
  [ 75.09- 75.60] の
  [ 75.60- 75.60] ダ
  [ 75.60- 76.04] イ
  [ 76.04- 76.08] ヤ
  [ 76.08- 76.32] が
  [ 76.32- 76.56] 乱
  [ 76.56- 77.09] れた
  [ 77.09- 77.28] が
  [ 77.28- 77.76] 、
  [ 77.76- 77.91] 数
  [ 77.91- 78.24] 時間
  [ 78.24- 78.48] 後
  [ 78.48- 78.72] に
  [ 78.72- 79.12] 復
  [ 79.12- 79.25] 旧
  [ 79.25- 79.77] した
  [ 79.77- 79.92] 。
  [ 79.92- 80.29] ウ
  [ 80.29- 80.63] ィ
  [ 80.63- 80.64] ー
  [ 80.64- 80.88] ク
  [ 80.88- 81.18] デ
  [ 81.18- 81.36] ー
  [ 81.36- 81.60] 。
  [ 81.60- 82.32] この
  [ 82.32- 82.45] 道
  [ 82.45- 82.56] 路
  [ 82.56- 82.92] は
  [ 82.92- 83.04] 、
  [ 83.04- 83.52] ウ
  [ 83.52- 83.53] ィ
  [ 83.53- 83.77] ー
  [ 83.77- 84.00] ク
  [ 84.00- 84.29] デ
  [ 84.29- 84.48] ー
  [ 84.48- 84.88] は
  [ 84.88- 84.98] 渋
  [ 84.98- 85.20] 滞
  [ 85.20- 85.69] する
  [ 85.69- 86.11] が
  [ 86.11- 86.16] 、
  [ 86.16- 86.40] 休
  [ 86.40- 86.64] 日
  [ 86.64- 86.88] は
  [ 86.88- 87.24] ガ
  [ 87.24- 87.36] ラ
  [ 87.36- 87.59] ガ
  [ 87.59- 87.85] ラ
  [ 87.85- 88.11] だ
  [ 88.11- 88.37] 。
  [ 88.37- 88.64] サ
  [ 88.64- 89.04] ー�
  [ 89.04- 89.28] �ス
  [ 89.28- 90.00] 。
  [ 90.00- 91.94] お
  [ 91.94- 92.75] 客
  [ 92.75- 94.08] 様
  [ 94.08- 95.44] に
  [ 95.44- 96.80] 喜
  [ 96.80- 98.55] ば
  [ 98.55-101.30] れる
  [101.30-102.24] サ
  [102.24-104.69] ー�
  [104.69-106.32] �ス
  [106.32-107.91] を
  [107.91-108.86] 心
  [108.86-110.63] が
  [110.63-113.53] けて
  [113.53-114.48] お
  [114.48-119.10] ります
  [119.10-120.00] 。

## Speech pieces (ffmpeg non-silence intervals; primary coverage units)
  Piece 0: 0.617-1.220
  Piece 1: 1.938-3.130
  Piece 2: 3.738-6.853
  Piece 3: 8.516-9.164
  Piece 4: 9.929-10.693
  Piece 5: 11.304-12.923
  Piece 6: 14.682-15.281
  Piece 7: 16.028-17.473
  Piece 8: 17.915-18.883
  Piece 9: 20.639-21.673
  Piece 10: 22.434-23.058
  Piece 11: 23.538-24.588
  Piece 12: 24.984-27.353
  Piece 13: 29.103-29.787
  Piece 14: 30.567-32.864
  Piece 15: 34.606-35.276
  Piece 16: 36.043-37.194
  Piece 17: 37.634-38.911
  Piece 18: 40.663-41.239
  Piece 19: 42.000-43.540
  Piece 20: 45.290-46.252
  Piece 21: 47.017-47.741
  Piece 22: 48.205-49.273
  Piece 23: 49.893-51.379
  Piece 24: 53.129-53.662
  Piece 25: 54.348-56.936
  Piece 26: 58.686-59.163
  Piece 27: 59.930-61.645
  Piece 28: 63.396-64.081
  Piece 29: 64.854-65.491
  Piece 30: 65.941-67.877
  Piece 31: 68.257-69.460
  Piece 32: 71.284-71.691
  Piece 33: 72.629-73.364
  Piece 34: 74.062-74.593
  Piece 35: 74.907-76.374
  Piece 36: 76.904-78.366
  Piece 37: 80.063-80.730
  Piece 38: 81.480-82.179
  Piece 39: 82.548-83.927
  Piece 40: 84.508-85.674
  Piece 41: 87.445-88.126
  Piece 42: 88.875-89.355
  Piece 43: 89.895-93.005

## Speech regions (same intervals, legacy label)
  Region 0: 0.617-1.220
  Region 1: 1.938-3.130
  Region 2: 3.738-6.853
  Region 3: 8.516-9.164
  Region 4: 9.929-10.693
  Region 5: 11.304-12.923
  Region 6: 14.682-15.281
  Region 7: 16.028-17.473
  Region 8: 17.915-18.883
  Region 9: 20.639-21.673
  Region 10: 22.434-23.058
  Region 11: 23.538-24.588
  Region 12: 24.984-27.353
  Region 13: 29.103-29.787
  Region 14: 30.567-32.864
  Region 15: 34.606-35.276
  Region 16: 36.043-37.194
  Region 17: 37.634-38.911
  Region 18: 40.663-41.239
  Region 19: 42.000-43.540
  Region 20: 45.290-46.252
  Region 21: 47.017-47.741
  Region 22: 48.205-49.273
  Region 23: 49.893-51.379
  Region 24: 53.129-53.662
  Region 25: 54.348-56.936
  Region 26: 58.686-59.163
  Region 27: 59.930-61.645
  Region 28: 63.396-64.081
  Region 29: 64.854-65.491
  Region 30: 65.941-67.877
  Region 31: 68.257-69.460
  Region 32: 71.284-71.691
  Region 33: 72.629-73.364
  Region 34: 74.062-74.593
  Region 35: 74.907-76.374
  Region 36: 76.904-78.366
  Region 37: 80.063-80.730
  Region 38: 81.480-82.179
  Region 39: 82.548-83.927
  Region 40: 84.508-85.674
  Region 41: 87.445-88.126
  Region 42: 88.875-89.355
  Region 43: 89.895-93.005

## Silence boundaries (for cutting)
  0.000 silence_start
  0.617 silence_end
  1.220 silence_start
  1.938 silence_end
  3.130 silence_start
  3.738 silence_end
  6.853 silence_start
  8.516 silence_end
  9.164 silence_start
  9.929 silence_end
  10.693 silence_start
  11.304 silence_end
  12.923 silence_start
  14.682 silence_end
  15.281 silence_start
  16.028 silence_end
  17.473 silence_start
  17.915 silence_end
  18.883 silence_start
  20.639 silence_end
  21.673 silence_start
  22.434 silence_end
  23.058 silence_start
  23.538 silence_end
  24.588 silence_start
  24.984 silence_end
  27.353 silence_start
  29.103 silence_end
  29.787 silence_start
  30.567 silence_end
  32.864 silence_start
  34.606 silence_end
  35.276 silence_start
  36.043 silence_end
  37.194 silence_start
  37.634 silence_end
  38.911 silence_start
  40.663 silence_end
  41.239 silence_start
  42.000 silence_end
  43.540 silence_start
  45.290 silence_end
  46.252 silence_start
  47.017 silence_end
  47.741 silence_start
  48.205 silence_end
  49.273 silence_start
  49.893 silence_end
  51.379 silence_start
  53.129 silence_end
  53.662 silence_start
  54.348 silence_end
  56.936 silence_start
  58.686 silence_end
  59.163 silence_start
  59.930 silence_end
  61.645 silence_start
  63.396 silence_end
  64.081 silence_start
  64.854 silence_end
  65.491 silence_start
  65.941 silence_end
  67.877 silence_start
  68.257 silence_end
  69.460 silence_start
  71.284 silence_end
  71.691 silence_start
  72.629 silence_end
  73.364 silence_start
  74.062 silence_end
  74.593 silence_start
  74.907 silence_end
  76.374 silence_start
  76.904 silence_end
  78.366 silence_start
  80.063 silence_end
  80.730 silence_start
  81.480 silence_end
  82.179 silence_start
  82.548 silence_end
  83.927 silence_start
  84.508 silence_end
  85.674 silence_start
  87.445 silence_end
  88.126 silence_start
  88.875 silence_end
  89.355 silence_start
  89.895 silence_end
  93.005 silence_start
  94.171 silence_end
  94.179 silence_end
  Track duration: 94.179

## Expected vocabulary entries on this track
  Index 505: シーズン (シーズン) — 日本では12月から2月にかけてが受験のシーズンだ。
  Index 506: ダイヤ (ダイヤ) — 事故で列車のダイヤが乱れたが、数時間後に復旧した。
  Index 507: ウィークデー (ウィークデー) — この道路はウィークデーは渋滞するが、休日はがらがらだ。
  Index 508: サービス (サービス) — ① 「当社はお客様に喜ばれるサービスを心がけております」

## Instructions
Match each Whisper segment and each speech piece to the correct vocabulary entry as either 'word' or 'sentence'.
Rules:
1. Each entry typically has a word segment (headword spoken alone, usually < 2s) and a sentence segment (full example sentence).
2. If a sentence spans multiple Whisper segments (speaker paused mid-sentence), combine them.
3. Treat ffmpeg speech pieces as the primary coverage units. Every piece in the chosen window must be accounted for.
4. Prefer assigning whole speech pieces to an item. Do not leave trailing closures like った or って unassigned.
5. Prefer real silence edges for cut boundaries when they reasonably fit the intended item.
6. If silence detection failed and one speech piece bridges two adjacent items, you may split inside that piece, but mark the affected clip with flag `bridge_split` and preserve the exact split timestamp.
7. Whisper often misrecognizes Japanese characters (e.g., 大声→応勢, 弟→お父). Match by context and sentence structure, not exact text.
8. If a piece seems odd or very short, bias toward attaching it to the beginning or end of an adjacent item and mention the uncertainty in `note`.

Output a JSON array with this structure:
[{"index": N, "word": {"start": X, "end": Y, "piece_ids": [P0], "flags": []}, "sentence": {"start": X, "end": Y, "piece_ids": [P1, P2], "flags": []}, "flags": [], "note": ""}, ...]

If a bridge split is required, include `bridge_split` in the affected clip flags and preserve the exact timestamp for the split boundary.
If an entry's word or sentence cannot be identified, omit that field, but do not leave any speech piece unaccounted for in the selected window.
================================================================================
